method_id,method_name,decision_model,audit_mode,requests,accuracy,correct_count,false_allow_count,false_deny_count,false_escalate_count,oracle_allow_recall,oracle_deny_recall,oracle_escalate_recall,audit_tamper_detection_rate,explanation_available_rate,xai_hash_logged,explanation_hash_tamper_detection,decision_latency_ms_p50_total,audit_build_latency_ms_p50_total,audit_verify_latency_ms_p50_total,estimated_total_build_latency_ms_p50,storage_bytes,storage_bytes_per_event,status,scope_note
rbac_mutable_log,RBAC + mutable log,rbac,mutable_log,1000,0.2900,290,656,54,0,0.9823,0.4377,0.0000,0.0000,0.0000,false,0.0000,0.701125,6.840958,0.685708,7.542083,459815,459.815,baseline,Role/action baseline with mutable centralized audit log.
abac_pbac_mutable_log,ABAC/PBAC + mutable log,abac_pbac,mutable_log,1000,1.0000,1000,0,0,0,1.0000,1.0000,1.0000,0.0000,0.0000,false,0.0000,14.152334,6.840958,0.685708,20.993292,459815,459.815,baseline,Contextual policy oracle with mutable centralized audit log.
abac_pbac_signed_hash_chain,ABAC/PBAC + signed hash-chain log,abac_pbac,signed_hash_chain,1000,1.0000,1000,0,0,0,1.0000,1.0000,1.0000,1.0000,0.0000,false,0.0000,14.152334,16.839833,9.158000,30.992167,756860,756.860,baseline,Contextual policy oracle with signed append-only hash-chain audit.
abac_pbac_blockchain_style,ABAC/PBAC + blockchain-style audit,abac_pbac,permissioned_blockchain_style,1000,1.0000,1000,0,0,0,1.0000,1.0000,1.0000,1.0000,0.0000,false,0.0000,14.152334,27.936208,11.661417,42.088542,1110357,1110.357,baseline,Contextual policy oracle with permissioned blockchain-style audit commitments.
seba_xai_full,SEBA-XAI full: ABAC/PBAC + blockchain-style audit + XAI hash,abac_pbac,permissioned_blockchain_style,1000,1.0000,1000,0,0,0,1.0000,1.0000,1.0000,1.0000,1.0000,true,1.0000,14.152334,27.936208,11.661417,42.088542,1110357,1110.357,proposed,"Final proposed mode with contextual policy decisions, rule-trace XAI, explanation hash, and permissioned blockchain-style audit."
