ledger_design,total_events,column_count,clear_sensitive_columns,hashed_or_commitment_columns,unique_clear_station_ids,unique_clear_roles,unique_clear_record_types,unique_clear_case_types,unique_clear_sensitivity_levels,privacy_flag_columns_visible,sealed_status_visible,decision_visible,reason_code_visible,purpose_visible,action_visible,requester_station_visible,target_station_visible,metadata_exposure_score,interpretation
full_metadata_ledger,1000,27,19,4,48,9,9,8,4,4,true,true,true,true,true,true,true,1.0000,High schema-level metadata exposure because clear policy context is visible.
minimized_commitment_ledger,1000,15,0,12,0,0,0,0,0,0,false,false,false,false,false,false,false,0.0000,Reduced schema-level exposure because sensitive context is represented by hashes/commitments. This is not a formal privacy proof.
