seed,defense,attack,severity,detected,aas,unweighted
123,ct_log,swap_explanation_hash,2,1,0.7916666666666666,0.8571428571428571
123,ct_log,collude_block_signature,5,1,0.7916666666666666,0.8571428571428571
123,ct_log,revocation_race,2,1,0.7916666666666666,0.8571428571428571
123,ct_log,compromised_signer,5,0,0.7916666666666666,0.8571428571428571
123,ct_log,metadata_inference,4,1,0.7916666666666666,0.8571428571428571
123,fabric_abac,replay_approval_token,3,1,0.7916666666666666,0.8571428571428571
123,fabric_abac,backdate_request,3,1,0.7916666666666666,0.8571428571428571
123,fabric_abac,swap_explanation_hash,2,1,0.7916666666666666,0.8571428571428571
123,fabric_abac,collude_block_signature,5,1,0.7916666666666666,0.8571428571428571
123,fabric_abac,revocation_race,2,1,0.7916666666666666,0.8571428571428571
123,fabric_abac,compromised_signer,5,0,0.7916666666666666,0.8571428571428571
123,fabric_abac,metadata_inference,4,1,0.7916666666666666,0.8571428571428571
123,trusted_policy_oracle,replay_approval_token,3,1,1.0,1.0
123,trusted_policy_oracle,backdate_request,3,1,1.0,1.0
123,trusted_policy_oracle,swap_explanation_hash,2,1,1.0,1.0
123,trusted_policy_oracle,collude_block_signature,5,1,1.0,1.0
123,trusted_policy_oracle,revocation_race,2,1,1.0,1.0
123,trusted_policy_oracle,compromised_signer,5,1,1.0,1.0
123,trusted_policy_oracle,metadata_inference,4,1,1.0,1.0
123,nspi_drift,replay_approval_token,3,0,0.0013180102167720804,0.07960199004975124
123,nspi_drift,backdate_request,3,0,0.001374363892152201,0.0845771144278607
123,nspi_drift,swap_explanation_hash,2,0,0.001374363892152201,0.0845771144278607
123,nspi_drift,collude_block_signature,5,1,0.0013180102167720804,0.04975124378109453
123,nspi_drift,revocation_race,2,0,0.001293571391162469,0.08955223880597014
123,nspi_drift,compromised_signer,5,1,0.02456707984118459,0.004975124378109453
123,nspi_drift,metadata_inference,4,0,0.0,0.0
21,mutable_log,replay_approval_token,3,1,0.5,0.42857142857142855
21,mutable_log,backdate_request,3,0,0.5,0.42857142857142855
21,mutable_log,swap_explanation_hash,2,0,0.5,0.42857142857142855
21,mutable_log,collude_block_signature,5,1,0.5,0.42857142857142855
21,mutable_log,revocation_race,2,0,0.5,0.42857142857142855
21,mutable_log,compromised_signer,5,0,0.5,0.42857142857142855
21,mutable_log,metadata_inference,4,1,0.5,0.42857142857142855
21,signed_chain,replay_approval_token,3,1,0.7916666666666666,0.8571428571428571
21,signed_chain,backdate_request,3,1,0.7916666666666666,0.8571428571428571
21,signed_chain,swap_explanation_hash,2,1,0.7916666666666666,0.8571428571428571
21,signed_chain,collude_block_signature,5,1,0.7916666666666666,0.8571428571428571
21,signed_chain,revocation_race,2,1,0.7916666666666666,0.8571428571428571
21,signed_chain,compromised_signer,5,0,0.7916666666666666,0.8571428571428571
21,signed_chain,metadata_inference,4,1,0.7916666666666666,0.8571428571428571
21,blockchain_style,replay_approval_token,3,1,0.7916666666666666,0.8571428571428571
21,blockchain_style,backdate_request,3,1,0.7916666666666666,0.8571428571428571
21,blockchain_style,swap_explanation_hash,2,1,0.7916666666666666,0.8571428571428571
21,blockchain_style,collude_block_signature,5,1,0.7916666666666666,0.8571428571428571
21,blockchain_style,revocation_race,2,1,0.7916666666666666,0.8571428571428571
21,blockchain_style,compromised_signer,5,0,0.7916666666666666,0.8571428571428571
21,blockchain_style,metadata_inference,4,1,0.7916666666666666,0.8571428571428571
21,abac_reexec,replay_approval_token,3,1,0.7916666666666666,0.8571428571428571
21,abac_reexec,backdate_request,3,1,0.7916666666666666,0.8571428571428571
21,abac_reexec,swap_explanation_hash,2,1,0.7916666666666666,0.8571428571428571
21,abac_reexec,collude_block_signature,5,1,0.7916666666666666,0.8571428571428571
21,abac_reexec,revocation_race,2,1,0.7916666666666666,0.8571428571428571
21,abac_reexec,compromised_signer,5,0,0.7916666666666666,0.8571428571428571
21,abac_reexec,metadata_inference,4,1,0.7916666666666666,0.8571428571428571
21,ct_log,replay_approval_token,3,1,0.7916666666666666,0.8571428571428571
21,ct_log,backdate_request,3,1,0.7916666666666666,0.8571428571428571
21,ct_log,swap_explanation_hash,2,1,0.7916666666666666,0.8571428571428571
21,ct_log,collude_block_signature,5,1,0.7916666666666666,0.8571428571428571
21,ct_log,revocation_race,2,1,0.7916666666666666,0.8571428571428571
21,ct_log,compromised_signer,5,0,0.7916666666666666,0.8571428571428571
21,ct_log,metadata_inference,4,1,0.7916666666666666,0.8571428571428571
21,fabric_abac,replay_approval_token,3,1,0.7916666666666666,0.8571428571428571
21,fabric_abac,backdate_request,3,1,0.7916666666666666,0.8571428571428571
21,fabric_abac,swap_explanation_hash,2,1,0.7916666666666666,0.8571428571428571
21,fabric_abac,collude_block_signature,5,1,0.7916666666666666,0.8571428571428571
21,fabric_abac,revocation_race,2,1,0.7916666666666666,0.8571428571428571
21,fabric_abac,compromised_signer,5,0,0.7916666666666666,0.8571428571428571
21,fabric_abac,metadata_inference,4,1,0.7916666666666666,0.8571428571428571
21,trusted_policy_oracle,replay_approval_token,3,1,1.0,1.0
21,trusted_policy_oracle,backdate_request,3,1,1.0,1.0
21,trusted_policy_oracle,swap_explanation_hash,2,1,1.0,1.0
21,trusted_policy_oracle,collude_block_signature,5,1,1.0,1.0
21,trusted_policy_oracle,revocation_race,2,1,1.0,1.0
21,trusted_policy_oracle,compromised_signer,5,1,1.0,1.0
21,trusted_policy_oracle,metadata_inference,4,1,1.0,1.0
21,nspi_drift,replay_approval_token,3,0,0.0010915447799254643,0.09950248756218906
21,nspi_drift,backdate_request,3,0,0.001158300082927618,0.12935323383084577
21,nspi_drift,swap_explanation_hash,2,0,0.001158300082927618,0.12935323383084577
21,nspi_drift,collude_block_signature,5,0,0.0010915447799254643,0.11940298507462686
21,nspi_drift,revocation_race,2,0,0.0010843302405847254,0.14427860696517414
21,nspi_drift,compromised_signer,5,1,0.025437771722780306,0.004975124378109453
21,nspi_drift,metadata_inference,4,0,0.0,0.0
