seed,target_scope,target_group,target_group_eligible,flip_fraction_requested,n_flipped,global_flip_fraction_actual,target_flip_fraction_actual,nspi_global_detected,nspi_global_js,nspi_global_p,nspi_per_station_detected,stations_flagged,stations_evaluated,strongest_station,strongest_station_js,strongest_station_p,nspi_per_district_detected,districts_flagged,districts_evaluated,strongest_district,strongest_district_js,strongest_district_p,nspi_any_detected,trusted_policy_oracle_detected
21,station,STATE_01_DIST_04_PS_03,46,0.25,11,0.011,0.2391304347826087,0,0.00048345683608013194,0.42786069651741293,1,1,36,STATE_01_DIST_04_PS_03,0.0912008752789652,0.004975124378109453,0,0,12,STATE_02_DIST_01,0.010642129048557207,0.3383084577114428,1,1
21,station,STATE_01_DIST_04_PS_03,46,0.5,23,0.023,0.5,0,0.00010615883630624764,0.8308457711442786,1,1,36,STATE_01_DIST_04_PS_03,0.21641271815989077,0.004975124378109453,1,1,12,STATE_01_DIST_04,0.02579520077572163,0.004975124378109453,1,1
21,station,STATE_01_DIST_04_PS_03,46,0.75,34,0.034,0.7391304347826086,0,1.4001895256249698e-05,0.9701492537313433,1,1,36,STATE_01_DIST_04_PS_03,0.3844259158856943,0.004975124378109453,1,1,12,STATE_01_DIST_04,0.05123673009574173,0.004975124378109453,1,1
21,station,STATE_01_DIST_04_PS_03,46,1.0,46,0.046,1.0,0,0.00023796911663818212,0.6716417910447762,1,1,36,STATE_01_DIST_04_PS_03,0.6931471797423256,0.004975124378109453,1,1,12,STATE_01_DIST_04,0.08834792066288816,0.004975124378109453,1,1
21,district,STATE_01_DIST_04,116,0.1,11,0.011,0.09482758620689655,0,0.00048122965760742176,0.40298507462686567,0,0,36,STATE_02_DIST_03_PS_01,0.04855441608097846,0.4079601990049751,0,0,12,STATE_02_DIST_01,0.010642129048557207,0.3383084577114428,0,1
21,district,STATE_01_DIST_04,116,0.25,29,0.029,0.25,0,1.2503275664341477e-05,0.9950248756218906,1,2,36,STATE_01_DIST_04_PS_03,0.09494120234409444,0.004975124378109453,1,1,12,STATE_01_DIST_04,0.0386054419260859,0.004975124378109453,1,1
21,district,STATE_01_DIST_04,116,0.5,58,0.058,0.5,0,0.0006427293164089302,0.31840796019900497,1,3,36,STATE_01_DIST_04_PS_03,0.22974545626890494,0.004975124378109453,1,1,12,STATE_01_DIST_04,0.12991180356698123,0.004975124378109453,1,1
21,district,STATE_01_DIST_04,116,0.75,87,0.087,0.75,1,0.0026901713372224885,0.01990049751243781,1,3,36,STATE_01_DIST_04_PS_03,0.4726351685620295,0.004975124378109453,1,1,12,STATE_01_DIST_04,0.2674131247229763,0.004975124378109453,1,1
21,district,STATE_01_DIST_04,116,1.0,116,0.116,1.0,1,0.005910433699202,0.004975124378109453,1,3,36,STATE_01_DIST_04_PS_03,0.6931471797423256,0.004975124378109453,1,1,12,STATE_01_DIST_04,0.5488711339499504,0.004975124378109453,1,1
7,station,STATE_03_DIST_02_PS_03,46,0.1,4,0.004,0.08695652173913043,0,0.00029901900346376636,0.5472636815920398,0,0,36,STATE_01_DIST_04_PS_01,0.028572712496388507,0.5522388059701493,0,0,12,STATE_03_DIST_03,0.003410557122244676,0.5373134328358209,0,1
7,station,STATE_03_DIST_02_PS_03,46,0.25,11,0.011,0.2391304347826087,0,0.00012935815993291196,0.7611940298507462,0,0,36,STATE_03_DIST_02_PS_03,0.02929912109685277,0.07960199004975124,0,0,12,STATE_03_DIST_02,0.006236106092966352,0.38308457711442784,0,1
7,station,STATE_03_DIST_02_PS_03,46,0.5,23,0.023,0.5,0,0.00010570507621125019,0.8009950248756219,1,1,36,STATE_03_DIST_02_PS_03,0.11296989304595514,0.004975124378109453,1,1,12,STATE_03_DIST_02,0.03500377536480598,0.009950248756218905,1,1
7,station,STATE_03_DIST_02_PS_03,46,0.75,34,0.034,0.7391304347826086,0,0.0003987839045399679,0.43781094527363185,1,1,36,STATE_03_DIST_02_PS_03,0.23251491478617725,0.004975124378109453,1,1,12,STATE_03_DIST_02,0.07419909934718494,0.004975124378109453,1,1
7,station,STATE_03_DIST_02_PS_03,46,1.0,46,0.046,1.0,0,0.0009443772757411883,0.16417910447761194,1,1,36,STATE_03_DIST_02_PS_03,0.5051054331759866,0.004975124378109453,1,1,12,STATE_03_DIST_02,0.14196127635907702,0.004975124378109453,1,1
7,district,STATE_03_DIST_01,96,0.1,9,0.009,0.09375,0,0.00017829011147626203,0.6865671641791045,0,0,36,STATE_01_DIST_04_PS_01,0.028572712496388507,0.5522388059701493,0,0,12,STATE_03_DIST_01,0.008158481240265792,0.23383084577114427,0,1
7,district,STATE_03_DIST_01,96,0.25,24,0.024,0.25,0,0.00015377135731096947,0.7562189054726368,1,1,36,STATE_03_DIST_01_PS_01,0.0895860232916559,0.009950248756218905,1,1,12,STATE_03_DIST_01,0.04554373716509716,0.004975124378109453,1,1
7,district,STATE_03_DIST_01,96,0.5,48,0.048,0.5,0,0.0010344985900423822,0.12437810945273632,1,3,36,STATE_03_DIST_01_PS_03,0.15797217273909672,0.004975124378109453,1,1,12,STATE_03_DIST_01,0.13970143493929588,0.004975124378109453,1,1
7,district,STATE_03_DIST_01,96,0.75,72,0.072,0.75,1,0.0029330319989743104,0.009950248756218905,1,3,36,STATE_03_DIST_01_PS_03,0.3263493415908834,0.004975124378109453,1,1,12,STATE_03_DIST_01,0.28251133707388043,0.004975124378109453,1,1
7,district,STATE_03_DIST_01,96,1.0,96,0.096,1.0,1,0.0056866184676860766,0.004975124378109453,1,3,36,STATE_03_DIST_01_PS_03,0.6931471793651702,0.004975124378109453,1,1,12,STATE_03_DIST_01,0.5657534491000964,0.004975124378109453,1,1
99,station,STATE_01_DIST_04_PS_03,60,0.1,6,0.006,0.1,0,8.354380894864044e-05,0.8507462686567164,0,0,36,STATE_02_DIST_02_PS_01,0.016545267441388067,0.43781094527363185,0,0,12,STATE_01_DIST_04,0.005024465388556025,0.43283582089552236,0,1
99,station,STATE_01_DIST_04_PS_03,60,0.25,15,0.015,0.25,0,1.0442375456340544e-05,0.9701492537313433,1,1,36,STATE_01_DIST_04_PS_03,0.051039515777308225,0.009950248756218905,1,1,12,STATE_01_DIST_04,0.019126107717318232,0.014925373134328358,1,1
99,station,STATE_01_DIST_04_PS_03,60,0.5,30,0.03,0.5,0,0.000377870489120424,0.48258706467661694,1,1,36,STATE_01_DIST_04_PS_03,0.1379422264708749,0.004975124378109453,1,1,12,STATE_01_DIST_04,0.05732464326488168,0.004975124378109453,1,1
99,station,STATE_01_DIST_04_PS_03,60,0.75,45,0.045,0.75,0,0.001138642171006318,0.11940298507462686,1,1,36,STATE_01_DIST_04_PS_03,0.2904721799861665,0.004975124378109453,1,1,12,STATE_01_DIST_04,0.1096206789515923,0.004975124378109453,1,1
99,station,STATE_01_DIST_04_PS_03,60,1.0,60,0.06,1.0,1,0.0023779022305158107,0.014925373134328358,1,1,36,STATE_01_DIST_04_PS_03,0.5400314733411468,0.004975124378109453,1,1,12,STATE_01_DIST_04,0.18141750663070036,0.004975124378109453,1,1
99,district,STATE_02_DIST_01,124,0.1,12,0.012,0.0967741935483871,0,2.496326960217698e-05,0.945273631840796,0,0,36,STATE_02_DIST_02_PS_01,0.016545267441388067,0.43781094527363185,0,0,12,STATE_02_DIST_01,0.009108970269367017,0.11940298507462686,0,1
99,district,STATE_02_DIST_01,124,0.25,31,0.031,0.25,0,0.0003966465151715604,0.5074626865671642,1,1,36,STATE_02_DIST_01_PS_01,0.12830045955984834,0.004975124378109453,1,1,12,STATE_02_DIST_01,0.04636102400801754,0.004975124378109453,1,1
99,district,STATE_02_DIST_01,124,0.5,62,0.062,0.5,1,0.002537287414126191,0.009950248756218905,1,3,36,STATE_02_DIST_01_PS_01,0.243772127280349,0.004975124378109453,1,1,12,STATE_02_DIST_01,0.14053378758549862,0.004975124378109453,1,1
99,district,STATE_02_DIST_01,124,0.75,93,0.093,0.75,1,0.00620581938576056,0.004975124378109453,1,3,36,STATE_02_DIST_01_PS_01,0.3714550263858836,0.004975124378109453,1,1,12,STATE_02_DIST_01,0.2833779422044974,0.004975124378109453,1,1
99,district,STATE_02_DIST_01,124,1.0,124,0.124,1.0,1,0.011116618626941733,0.004975124378109453,1,3,36,STATE_02_DIST_01_PS_01,0.6931471798462627,0.004975124378109453,1,1,12,STATE_02_DIST_01,0.5663658562433901,0.004975124378109453,1,1
