source_table,metric_family,group,metric,n_seeds,seeds,mean,std,std_defined,min,max
nspi_compromised_signer_sensitivity_raw,global_sensitivity,flip_fraction_requested=0.02,trusted_policy_oracle_detected,5,7|21|42|99|123,1.0,0.0,True,1.0,1.0
nspi_compromised_signer_sensitivity_raw,global_sensitivity,flip_fraction_requested=0.05,trusted_policy_oracle_detected,5,7|21|42|99|123,1.0,0.0,True,1.0,1.0
nspi_compromised_signer_sensitivity_raw,global_sensitivity,flip_fraction_requested=0.1,trusted_policy_oracle_detected,5,7|21|42|99|123,1.0,0.0,True,1.0,1.0
nspi_compromised_signer_sensitivity_raw,global_sensitivity,flip_fraction_requested=0.15,trusted_policy_oracle_detected,5,7|21|42|99|123,1.0,0.0,True,1.0,1.0
nspi_compromised_signer_sensitivity_raw,global_sensitivity,flip_fraction_requested=0.2,trusted_policy_oracle_detected,5,7|21|42|99|123,1.0,0.0,True,1.0,1.0
nspi_compromised_signer_sensitivity_raw,global_sensitivity,flip_fraction_requested=0.25,trusted_policy_oracle_detected,5,7|21|42|99|123,1.0,0.0,True,1.0,1.0
nspi_compromised_signer_sensitivity_raw,global_sensitivity,flip_fraction_requested=0.35,trusted_policy_oracle_detected,5,7|21|42|99|123,1.0,0.0,True,1.0,1.0
nspi_compromised_signer_sensitivity_raw,global_sensitivity,flip_fraction_requested=0.5,trusted_policy_oracle_detected,5,7|21|42|99|123,1.0,0.0,True,1.0,1.0
nspi_targeted_compromised_signer_raw,targeted_sensitivity,target_scope=district|flip_fraction_requested=0.1,nspi_per_station_detected,5,7|21|42|99|123,0.0,0.0,True,0.0,0.0
nspi_targeted_compromised_signer_raw,targeted_sensitivity,target_scope=district|flip_fraction_requested=0.25,nspi_per_station_detected,5,7|21|42|99|123,0.8,0.447214,True,0.0,1.0
nspi_targeted_compromised_signer_raw,targeted_sensitivity,target_scope=district|flip_fraction_requested=0.5,nspi_per_station_detected,5,7|21|42|99|123,1.0,0.0,True,1.0,1.0
nspi_targeted_compromised_signer_raw,targeted_sensitivity,target_scope=district|flip_fraction_requested=0.75,nspi_per_station_detected,5,7|21|42|99|123,1.0,0.0,True,1.0,1.0
nspi_targeted_compromised_signer_raw,targeted_sensitivity,target_scope=district|flip_fraction_requested=1.0,nspi_per_station_detected,5,7|21|42|99|123,1.0,0.0,True,1.0,1.0
nspi_targeted_compromised_signer_raw,targeted_sensitivity,target_scope=station|flip_fraction_requested=0.1,nspi_per_station_detected,5,7|21|42|99|123,0.0,0.0,True,0.0,0.0
nspi_targeted_compromised_signer_raw,targeted_sensitivity,target_scope=station|flip_fraction_requested=0.25,nspi_per_station_detected,5,7|21|42|99|123,0.6,0.547723,True,0.0,1.0
nspi_targeted_compromised_signer_raw,targeted_sensitivity,target_scope=station|flip_fraction_requested=0.5,nspi_per_station_detected,5,7|21|42|99|123,1.0,0.0,True,1.0,1.0
nspi_targeted_compromised_signer_raw,targeted_sensitivity,target_scope=station|flip_fraction_requested=0.75,nspi_per_station_detected,5,7|21|42|99|123,1.0,0.0,True,1.0,1.0
nspi_targeted_compromised_signer_raw,targeted_sensitivity,target_scope=station|flip_fraction_requested=1.0,nspi_per_station_detected,5,7|21|42|99|123,1.0,0.0,True,1.0,1.0
