seed,attack,severity,defense,scope,detected,js_divergence,p_value,stations_flagged,stations_evaluated
7,compromised_signer,5,signed_chain,log-integrity,0,,,,
7,compromised_signer,5,blockchain_style,log-integrity,0,,,,
7,compromised_signer,5,ct_log,log-integrity,0,,,,
7,compromised_signer,5,fabric_abac,log-integrity,0,,,,
7,compromised_signer,5,abac_reexec,log-integrity,0,,,,
7,compromised_signer,5,nspi_drift_global,policy-distribution,1,0.030489426514011743,0.004975124378109453,,
7,compromised_signer,5,nspi_drift_per_station,policy-distribution,1,,,9.0,36.0
99,policy_skew_corruption,5,signed_chain,log-integrity,1,,,,
99,policy_skew_corruption,5,blockchain_style,log-integrity,1,,,,
99,policy_skew_corruption,5,ct_log,log-integrity,1,,,,
99,policy_skew_corruption,5,fabric_abac,log-integrity,1,,,,
99,policy_skew_corruption,5,abac_reexec,log-integrity,1,,,,
99,policy_skew_corruption,5,nspi_drift_global,policy-distribution,0,9.96719476808153e-05,0.8109452736318408,,
99,policy_skew_corruption,5,nspi_drift_per_station,policy-distribution,0,,,0.0,36.0
99,coordinated_laundering,4,signed_chain,log-integrity,1,,,,
99,coordinated_laundering,4,blockchain_style,log-integrity,1,,,,
99,coordinated_laundering,4,ct_log,log-integrity,1,,,,
99,coordinated_laundering,4,fabric_abac,log-integrity,1,,,,
99,coordinated_laundering,4,abac_reexec,log-integrity,1,,,,
99,coordinated_laundering,4,nspi_drift_global,policy-distribution,1,0.0016793851586074104,0.029850746268656716,,
99,coordinated_laundering,4,nspi_drift_per_station,policy-distribution,0,,,0.0,36.0
99,compromised_signer,5,signed_chain,log-integrity,0,,,,
99,compromised_signer,5,blockchain_style,log-integrity,0,,,,
99,compromised_signer,5,ct_log,log-integrity,0,,,,
99,compromised_signer,5,fabric_abac,log-integrity,0,,,,
99,compromised_signer,5,abac_reexec,log-integrity,0,,,,
99,compromised_signer,5,nspi_drift_global,policy-distribution,1,0.033722766529800906,0.004975124378109453,,
99,compromised_signer,5,nspi_drift_per_station,policy-distribution,1,,,11.0,36.0
